Dte;Barris;Total;Homes;Dones
;;;;
BARCELONA;;1.620.943;769.819;851.124
;;;;
1;1. el Raval;49.027;26.711;22.316
1;2. el Barri Gòtic;16.908;9.181;7.727
1;3. la Barceloneta;15.729;7.825;7.904
1;4. Sant Pere, Santa Caterina i la Ribera;22.778;11.329;11.449
2;5. el Fort Pienc;32.296;15.220;17.076
2;6. la Sagrada Família;52.109;23.982;28.127
2;7. la Dreta de l'Eixample;43.355;19.758;23.597
2;8. l'Antiga Esquerra de l'Eixample;41.785;19.141;22.644
2;9. la Nova Esquerra de l'Eixample;57.911;26.748;31.163
2;10. Sant Antoni;38.372;17.936;20.436
3;11. el Poble Sec - Parc Montjuïc;41.258;20.296;20.962
3;12. la Marina del Prat Vermell - Zona Franca;1.153;592;561
3;13. la Marina de Port;30.458;14.793;15.665
3;14. la Font de la Guatlla;10.285;4.848;5.437
3;15. Hostafrancs;16.044;7.745;8.299
3;16. la Bordeta;18.614;8.825;9.789
3;17. Sants - Badal;24.611;11.600;13.011
3;18. Sants;41.649;19.849;21.800
4;19. les Corts;46.875;22.015;24.860
4;20. la Maternitat i Sant Ramon;23.780;11.105;12.675
4;21. Pedralbes;11.765;5.462;6.303
5;22. Vallvidrera, el Tibidabo i les Planes;4.410;2.103;2.307
5;23. Sarrià;24.306;11.239;13.067
5;24. les Tres Torres;15.936;7.371;8.565
5;25. Sant Gervasi - la Bonanova;24.553;11.113;13.440
5;26. Sant Gervasi - Galvany;46.411;20.887;25.524
5;27. el Putxet i el Farró;29.775;13.765;16.010
6;28. Vallcarca i els Penitents;15.499;7.146;8.353
6;29. el Coll;7.308;3.431;3.877
6;30. la Salut;13.212;6.098;7.114
6;31. la Vila de Gràcia;51.147;23.477;27.670
6;32. el Camp d'en Grassot i Gràcia Nova;34.760;15.962;18.798
7;33. el Baix Guinardó;25.918;11.896;14.022
7;34. Can Baró;9.005;4.241;4.764
7;35. el Guinardó;35.664;16.532;19.132
7;36. la Font d'en Fargues;9.569;4.586;4.983
7;37. el Carmel;32.012;15.391;16.621
7;38. la Teixonera;11.776;5.668;6.108
7;39. Sant Genís dels Agudells;6.985;3.319;3.666
7;40. Montbau;5.144;2.294;2.850
7;41. la Vall d'Hebron;5.569;2.616;2.953
7;42. la Clota;452;220;232
7;43. Horta;27.013;12.887;14.126
8;44. Vilapicina i la Torre Llobeta;25.540;11.733;13.807
8;45. Porta;24.222;11.413;12.809
8;46. el Turó de la Peira;16.184;7.686;8.498
8;47. Can Peguera;2.239;1.059;1.180
8;48. la Guineueta;15.185;7.123;8.062
8;49. Canyelles;7.197;3.451;3.746
8;50. les Roquetes;16.042;7.881;8.161
8;51. Verdun;12.453;5.847;6.606
8;52. la Prosperitat;26.471;12.678;13.793
8;53. la Trinitat Nova;7.627;3.643;3.984
8;54. Torre Baró;2.173;1.110;1.063
8;55. Ciutat Meridiana;10.748;5.479;5.269
8;56. Vallbona;1.338;656;682
9;57. la Trinitat Vella;10.387;5.457;4.930
9;58. Baró de Viver;2.412;1.165;1.247
9;59. el Bon Pastor;13.203;6.825;6.378
9;60. Sant Andreu;56.297;26.623;29.674
9;61. la Sagrera;29.110;13.627;15.483
9;62. el Congrés i els Indians;14.129;6.448;7.681
9;63. Navas;21.915;10.233;11.682
10;64. el Camp de l'Arpa del Clot;38.186;17.945;20.241
10;65. el Clot;27.325;13.164;14.161
10;66. el Parc i la Llacuna del Poblenou;14.043;6.662;7.381
10;67. la Vila Olímpica del Poblenou;9.249;4.518;4.731
10;68. el Poblenou;32.552;15.898;16.654
10;69. Diagonal Mar i el Front Marítim del Poblenou;12.522;6.094;6.428
10;70. el Besòs i el Maresme;23.725;12.306;11.419
10;71. Provençals del Poblenou;19.887;9.626;10.261
10;72. Sant Martí de Provençals;26.151;12.256;13.895
10;73. la Verneda i la Pau;29.245;14.010;15.235
