;;;Barri d'alta;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1. el Raval;8.352;4.314;254;103;213;84;94;105;133;164;446;790;0;65;34;73;34;55;85;33;12;6;6;19;9;11;42;36;19;6;10;133;49;29;10;34;11;35;20;11;9;11;5;23;22;17;21;2;5;12;36;15;29;8;5;14;0;24;3;14;36;42;9;18;63;36;21;12;57;12;87;22;23;44;8;
1;2. el Barri Gòtic;2.036;318;315;48;183;48;36;83;46;46;56;94;0;12;8;19;27;17;26;19;5;5;6;25;8;9;18;22;15;3;1;70;19;13;4;17;5;19;2;0;4;1;1;25;9;9;9;0;5;2;8;12;6;7;3;13;5;16;2;8;9;10;5;9;21;17;18;6;46;0;42;15;11;15;0;
1;3. la Barceloneta;1.580;112;44;556;79;27;24;35;29;27;37;52;1;28;6;13;8;7;32;10;2;0;1;2;0;2;6;12;2;2;5;46;15;9;2;14;2;11;2;4;1;4;0;0;8;12;10;1;1;0;2;5;5;8;0;6;3;6;2;6;14;2;2;8;17;39;17;17;32;8;25;17;3;33;0;
1;4. Sant Pere, Santa Caterina i la Ribera;2.412;198;139;77;621;103;44;114;73;48;42;92;0;14;8;15;18;3;50;9;6;2;9;12;4;13;29;21;10;3;6;66;38;15;4;15;7;12;3;3;1;1;0;14;19;11;10;0;0;2;10;2;14;3;0;10;2;16;2;8;26;21;6;10;27;22;64;33;51;10;19;14;14;24;0;
2;5. el Fort Pienc;2.229;97;40;33;81;568;139;136;49;60;50;43;1;15;7;16;25;17;43;41;9;4;1;3;12;8;19;16;7;1;13;46;39;33;6;42;1;15;2;2;0;3;0;11;8;19;9;0;3;4;7;5;10;0;0;3;1;2;2;2;20;37;6;23;52;31;50;12;54;20;20;20;30;25;0;
2;6. la Sagrada Família;3.611;81;37;20;53;122;901;132;93;96;45;52;0;17;13;23;21;18;33;54;22;1;5;15;5;26;39;41;34;8;24;113;150;130;11;87;9;37;16;3;4;1;0;31;39;36;17;2;12;8;11;12;22;14;0;7;0;3;1;7;55;52;28;47;282;97;33;9;46;18;27;35;41;27;0;
2;7. la Dreta de l'Eixample;2.720;84;41;21;89;122;161;644;149;84;65;61;0;4;7;15;7;26;26;43;15;11;4;33;21;58;105;40;20;3;15;159;86;30;7;32;7;20;2;3;2;0;0;6;21;15;11;0;2;2;2;5;9;0;0;1;0;7;1;9;16;21;13;29;55;32;28;10;40;18;9;13;9;14;0;
2;8. l'Antiga Esquerra de l'Eixample;2.901;103;46;32;53;55;91;141;611;281;145;80;1;14;20;28;19;25;57;72;17;17;8;55;33;49;108;62;14;9;16;102;55;35;3;21;3;6;5;4;3;1;0;19;11;6;20;0;10;3;8;5;5;0;0;7;3;8;3;4;39;37;13;22;36;29;14;11;37;14;7;13;8;9;0;
2;9. la Nova Esquerra de l'Eixample;3.542;122;34;23;47;61;114;109;244;989;196;95;0;24;55;105;46;54;129;109;29;8;5;38;49;41;82;36;18;12;12;77;35;31;10;45;5;14;3;1;7;5;0;17;19;11;9;2;10;1;10;6;9;5;1;1;3;3;0;7;36;27;10;13;59;34;25;9;29;10;12;22;13;9;1;
2;10. Sant Antoni;2.695;252;37;27;47;48;55;65;115;225;640;268;2;49;37;64;30;36;43;48;18;4;5;16;9;15;29;24;10;2;10;66;33;20;8;17;5;6;0;5;1;2;1;20;15;15;9;1;1;2;3;6;8;3;1;7;1;8;1;6;19;8;3;7;38;14;25;6;31;8;13;13;6;3;0;
3;11. el Poble Sec - Parc Montjuïc;4.250;574;60;47;76;54;52;47;64;105;354;1.552;2;76;47;65;32;38;117;45;13;3;9;13;4;6;20;30;13;13;19;65;31;21;10;32;7;23;10;5;3;3;2;15;10;11;19;2;4;1;17;6;11;1;1;8;0;14;2;19;31;33;13;11;55;28;17;3;47;18;37;10;21;23;0;
3;12. la Marina del Prat Vermell - Zona Franca;49;0;4;1;0;0;0;0;0;0;0;0;17;16;1;1;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
3;13. la Marina de Port;1.761;56;11;14;8;14;15;8;22;44;27;49;19;1.020;45;42;39;17;36;19;12;1;0;1;4;7;5;14;6;2;1;16;15;4;9;10;1;18;10;1;1;0;0;5;4;2;4;6;3;1;1;7;9;2;0;0;0;4;3;1;11;4;4;4;5;6;8;1;2;5;3;3;7;3;0;
3;14. la Font de la Guatlla;653;19;7;7;6;10;10;9;8;34;24;34;0;50;118;71;27;22;20;19;7;0;4;2;2;4;3;5;3;1;5;11;7;7;1;5;1;3;4;0;0;1;0;7;3;6;0;0;0;0;4;0;0;1;0;0;0;1;0;3;7;2;3;2;4;10;4;1;6;2;3;5;5;3;0;
3;15. Hostafrancs;1.329;54;4;5;10;20;18;15;27;90;30;53;0;42;47;331;80;48;124;29;13;2;0;2;10;4;6;12;0;2;1;23;9;11;2;12;2;9;3;6;3;0;0;6;3;4;2;0;4;0;6;3;9;3;0;4;0;5;0;2;12;6;13;4;16;16;9;1;9;4;10;3;11;5;0;
3;16. la Bordeta;987;41;4;5;4;7;13;4;19;30;19;37;0;45;30;53;227;62;160;25;17;3;7;0;1;4;7;4;1;1;2;12;8;4;0;6;2;8;1;0;0;0;0;6;3;0;8;0;2;2;3;0;7;1;0;1;0;1;0;9;10;4;5;1;12;6;4;2;7;4;3;0;6;7;0;
